Iteration,Drag_coef Monitor copy: Drag_coef Monitor copy,Lift_coef Monitor copy: Lift_coef Monitor copy,angleofattack Monitor: angleofattack Monitor (deg),reynoldnumb Monitor: reynoldnumb Monitor
19470,0.06154075,0.583494245,5,30000
29268,0.057884962,0.658867996,5,40000
36939,0.053135078,0.72777136,5,50000
43427,0.046413854,0.809377169,5,60000
48967,0.039150254,0.883370327,5,70000
53153,0.03267577,0.945487301,5,80000
54936,0.028441995,0.980634904,5,90000
56070,0.02585365,0.995220529,5,100000
,,,,
,,,,
3979,0.042148176,-0.12252246,-180,30000
6105,0.038154825,-0.176191253,-180,150000
1080,0.224772638,0.436248343,-163,30000
1761,0.211578867,0.408969209,-163,150000
825,0.48988917,0.532581176,-146,30000
1820,0.476415658,0.524459727,-146,150000
1804,0.801207339,0.508320217,-129,30000
3779,0.790107824,0.504837909,-129,150000
2667,1.055106573,0.323081194,-112,30000
5576,1.04942812,0.32499716,-112,150000
5000,1.202643392,0.033852768,-95,30000
10000,1.215425206,0.035307571,-95,150000
2935,1.152454236,-0.275721722,-78,30000
6134,1.143313253,-0.274742511,-78,150000
2478,0.970347287,-0.515645316,-61,30000
5166,0.96067425,-0.51288746,-61,150000
1416,0.675909176,-0.604489786,-44,30000
2904,0.664736238,-0.596679064,-44,150000
859,0.358100623,-0.478883004,-27,30000
1618,0.343139994,-0.46225186,-27,150000
764,0.287886863,0.83133679,20,30000
1847,0.279984489,0.812819594,20,150000
631,0.323871495,0.836989881,22,30000
1559,0.317827408,0.813289582,22,150000
768,0.362090885,0.842900963,24,30000
1647,0.354751439,0.823651785,24,150000
857,0.401315392,0.851320841,26,30000
1724,0.39339488,0.836077819,26,150000
955,0.4407824,0.85948055,28,30000
1866,0.432223477,0.844306689,28,150000
1021,0.481025381,0.865955787,30,30000
2013,0.472388139,0.852729205,30,150000
1426,0.687925162,0.859442981,40,30000
2882,0.68222799,0.850856581,40,150000
2588,1.064563538,0.656180117,60,30000
5340,1.056454338,0.652149873,60,150000
5000,1.310708196,0.272861476,80,30000
9277,1.29975217,0.270692878,80,150000
3199,1.269476869,-0.189061129,100,30000
6398,1.264880559,-0.190010975,100,150000
2552,1.051646984,-0.579032801,120,30000
5315,1.042115909,-0.576821487,120,150000
1464,0.68614454,-0.796171248,140,30000
2962,0.677049883,-0.789953208,140,150000
1090,0.303402108,-0.827218508,160,30000
2061,0.293974582,-0.796570662,160,150000
938,0.166011547,-0.256280318,-15,150000
1007,0.122923344,-0.203573882,-11,150000
759,0.14334989,-0.2258176,-13,150000
1382,0.104382696,-0.200172604,-9,150000
1236,0.087548884,-0.223509368,-7,150000
3199,0.075311909,-0.278172398,-5,150000
3199,0.039020179,0.005517638,-3,150000
3199,0.022605403,0.345889437,-1,150000
1053,0.017874848,0.626230268,1,150000
1140,0.016665096,0.841834198,3,150000
1228,0.018866591,1.031524882,5,150000
1552,0.023476722,1.191077697,7,150000
2015,0.033032732,1.290402253,9,150000
2301,0.044651941,1.363535833,11,150000
3199,0.064548083,1.368374204,13,150000
1264,0.179115769,0.892272547,15,150000
1039,0.222924916,0.833060221,17,150000
799,0.180552246,-0.298403364,-15,30000
1046,0.156554998,-0.273098504,-13,30000
898,0.135054347,-0.259694329,-11,30000
953,0.114935945,-0.254176728,-9,30000
1770,0.0968731,-0.270342469,-7,30000
